,Gene Symbol,at least X RD above background?,Neuro-Dingledine-CON-RD-1-RAE230_2_Signal,Neuro-Dingledine-CON-RD-2-RAE230_2_Signal,Neuro-Dingledine-CON-RD-3-RAE230_2_Signal,Neuro-Dingledine-CON-RD-4-RAE230_2_Signal,Neuro-Dingledine-CON-RD-5-RAE230_2_Signal,Neuro-Dingledine-CON-RD-6-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-1Day1-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-1Day2-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-1Day3-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-1Day4-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-1Day5-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-1Day6-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-3Day1-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-3Day2-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-3Day3-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-3Day4-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-3Day5-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-3Day6-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-10Day1-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-10Day2-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-10Day3-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-10Day4-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-10Day5-RAE230_2_Signal,Neuro-Dingledine-PILO-RD-10Day6-RAE230_2_Signal
,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
Rn.1_at,,1,205.2,75.4,99.8,95,62.4,80.8,242.3,67.4,331.9,206,101.9,136.4,79,110.5,155.2,269.7,97.8,108.8,82.9,67.8,210.8,284.2,130.1,71.3
Rn.10_at,TGM2,,29.5,15.1,8.8,5.1,16.5,22.6,38.9,50.6,31,49.9,34.1,23.2,13.2,34.7,26.7,38.8,35.6,24,4.7,29.4,4.4,23.4,34.7,8.7
Rn.1000_at,BTG1,1,1075.5,1121.3,1621.1,1633.4,1143.9,1210.1,1064.1,1051.3,919.3,971.7,1165,1113.3,1228,976.5,1272.8,1303.4,1639.7,1291,1334,1934.2,1408.5,1314.1,1257.8,1411.3
Rn.10000_at,NR4A1,,50.6,21.3,20.7,15.4,33.1,35.1,757.4,47,125.6,141.3,37.6,69.8,45.7,57.4,129.4,46.7,61.7,164.2,20.7,25.5,16.7,33.2,27.3,16.7
Rn.100005_at,SULT2B1_PREDICTED,,11.2,29.6,13.1,18.8,7.4,9,20.9,26.3,27.6,14.7,26,16.3,25.9,29.4,26.4,29.8,14.5,21.4,34.2,33.8,3.8,17.7,35,2.1
Rn.100014_at,FCHSD1_PREDICTED,,38.9,42.2,13.8,41.2,6.2,23.1,35.3,14.9,26.2,63.8,34.9,10.4,24.4,34.9,67,24.9,33.1,46.8,14.6,9.3,35,39.7,19.5,32.8
Rn.10002_at,APOBEC1,,7,13.7,4.7,8.4,9.7,2.2,7.1,20.9,6.3,27.7,26.4,28.3,24.3,44.2,27,107.3,29.3,75.4,6.1,1.2,15.9,17.3,22.2,11.9
Rn.100022_at,USP48,1,78.5,86.9,80.3,93,115.8,67,90.3,113.2,97.1,98.4,91.1,80.5,72.9,90.1,91.2,105.2,62.8,69.6,88.2,55.7,87.8,77.2,73.5,89.1
Rn.10006_at,RGN,,11.6,0.5,1.6,0.3,1.1,0.9,0.6,0.9,4.9,6.4,0.8,17.5,15.1,7.4,4.3,12.6,1.3,0.7,0.6,1.1,0.6,0.9,0.7,0.7
Rn.100064_at,MAP2K3,1,86.9,67.9,115.2,184.5,145.9,106.6,577.8,346.4,209.3,331.8,430.2,285.2,183.3,169.7,89.4,99.2,131.5,135.6,86.7,172.4,141.6,154.1,224.6,163.7
Rn.10008_at,FABP6,,3.3,2.2,2.9,3.4,9,0.5,13,17.9,10.3,0.7,5.9,6.5,3.8,7.9,12.1,6,10.9,7.9,7.7,3.2,11.5,9.1,13.2,1.7
Rn.10009_at,SLC22A7,,14.3,13.6,14.6,13.3,44,11.7,18.9,13.3,18.2,27.8,12.2,14.7,26.2,11.4,5.4,19.7,15.2,17.6,14,29,20.5,15.5,25.2,14
Rn.10011_at,VIPR2,,16.5,13.6,17.1,9.2,24.5,5.8,13.2,11.5,9.6,14.2,8.6,9.5,6.4,12.5,10.2,5.1,5.5,31.9,10.1,9.6,10.5,63.2,9.5,5.1
Rn.10012_at,SELP,,12.1,11.5,14.9,12.9,12.7,16,11.8,17.8,7.1,14.3,14.2,14.7,5.7,10,17,8.8,15.9,3.3,9.5,15,6.1,15,13.2,13.1
Rn.100120_at,DNAJC5,,12.3,31.7,35.4,28.4,49,40.5,26.7,79.5,35.6,40.5,32,42,23.9,18.7,28.2,37.9,27.1,38.9,26.1,43.2,36,24.5,52.7,26
Rn.10013_at,ATP1A4,,0.8,5.8,0.7,1.3,1.4,0.6,1.5,4.7,6.4,1.5,4.2,1.6,7.8,1.8,7.2,1.1,1.9,6.4,8,1.2,4.4,5.2,0.8,1
Rn.100135_at,RGD1311265,1,86.2,67.5,120.6,81.2,100.9,113.3,56.1,114.5,94.6,132.6,94.9,131.6,63.9,61.8,89.9,74.7,104.6,100.8,88.7,26,77.9,77.3,105.4,88.6
Rn.10014_at,FABP7,1,929.1,1078.5,1487.7,1346.6,1092.9,2029.1,1184.6,938.1,1833.8,1129.3,1279.4,958.2,1340.1,1508.7,2543,3181.7,1924.7,2480.7,1208.9,678.2,1472.8,1216.7,1346.1,1113.2
